Bin,Content,X,Y,Depth,Mode,Type
100539,10,17,33,1094,GRID,330mm
100540,10,12,15,762,GRID,330mm
100541,10,8,30,1758,GRID,330mm
100542,10,18,28,2090,GRID,330mm
100543,10,6,25,1758,GRID,330mm
100544,10,37,34,430,GRID,330mm
100545,10,35,26,430,GRID,330mm
100549,10,17,37,760,GRID,330mm
100550,10,20,35,760,GRID,330mm
100551,10,23,23,760,GRID,330mm
100552,11,15,41,428,GRID,330mm
100553,10,9,30,2088,GRID,330mm
100555,10,30,37,428,GRID,330mm
100556,10,18,33,1090,GRID,330mm
100557,10,30,14,760,GRID,330mm
100558,10,27,36,762,GRID,330mm
100559,10,31,31,428,GRID,330mm
100560,10,8,25,1094,GRID,330mm
100561,10,19,37,1094,GRID,330mm
100562,10,38,18,98,GRID,330mm
100563,10,6,35,760,GRID,330mm
100564,10,38,21,432,GRID,330mm
100565,22,13,17,432,TRANSIT,330mm
100566,20,12,22,100,TRANSIT,330mm
100567,20,10,13,100,TRANSIT,330mm
100568,22,9,24,98,TRANSIT,330mm
100569,22,10,25,760,GRID,330mm
100570,20,14,33,98,TRANSIT,330mm
100571,22,17,10,430,GRID,330mm
100572,22,18,33,428,TRANSIT,330mm
100573,20,9,29,3422,GRID,330mm
100574,10,39,11,1090,GRID,330mm
100575,22,7,35,760,GRID,330mm
100576,22,35,36,760,GRID,330mm
100577,22,7,8,764,GRID,330mm
100578,20,18,10,3090,GRID,330mm
100579,22,8,8,430,GRID,330mm
100580,22,7,11,430,GRID,330mm
100581,22,22,9,762,GRID,330mm
100582,20,9,27,98,GRID,330mm
100583,20,12,25,2420,GRID,330mm
100584,20,9,10,2754,GRID,330mm
100585,20,18,9,3420,GRID,330mm
100586,22,14,15,764,GRID,330mm
100587,20,10,42,1754,GRID,330mm
100588,20,34,35,760,GRID,330mm
100589,20,15,24,2754,GRID,330mm
100590,10,38,38,762,GRID,330mm
100591,10,11,25,1094,GRID,330mm
100592,10,32,8,760,GRID,330mm
100593,10,30,38,96,GRID,330mm
100594,10,23,14,762,GRID,330mm
100595,10,40,23,760,GRID,330mm
100596,10,35,37,428,GRID,330mm
100597,11,20,12,430,GRID,330mm
100598,10,39,33,762,GRID,330mm
100599,10,39,11,758,GRID,330mm
100600,10,40,20,762,GRID,330mm
100601,10,40,32,428,GRID,330mm
100602,10,30,43,426,GRID,330mm
100603,10,7,30,1424,GRID,330mm
100604,10,29,40,96,GRID,330mm
100605,10,37,39,428,GRID,330mm
100606,10,41,26,758,GRID,330mm
100607,10,24,21,762,GRID,330mm
100608,10,36,41,1090,GRID,330mm
100609,10,7,38,1090,GRID,330mm
100610,10,41,22,428,GRID,330mm
100611,10,28,25,430,GRID,330mm
100612,10,26,32,428,GRID,330mm
100613,10,7,33,1092,GRID,330mm
100614,10,30,35,760,GRID,330mm
100615,11,13,25,430,GRID,330mm
100616,10,22,22,430,GRID,330mm
100617,10,39,30,430,GRID,330mm
100618,11,10,31,432,GRID,330mm
100619,10,39,27,760,GRID,330mm
100620,10,36,30,430,GRID,330mm
100621,10,37,21,432,GRID,330mm
100622,10,30,29,430,GRID,330mm
100623,10,22,27,428,GRID,330mm
100624,10,32,36,426,GRID,330mm
100625,10,35,42,428,GRID,330mm
100626,10,11,38,1092,GRID,330mm
100627,10,6,31,2088,GRID,330mm
100628,10,15,15,1096,GRID,330mm
100629,10,33,17,430,GRID,330mm
