Bin	Content	X	Y	Depth	Mode
100802	10	120	105	5098	GRID
100803	10	99	98	5098	GRID
100804	10	166	102	4758	GRID
100805	10	173	95	4424	GRID
100806	10	136	112	5098	GRID
100807	10	169	117	4760	GRID
100808	10	167	109	4762	GRID
100809	10	138	106	5098	GRID
100810	10	153	121	5098	GRID
100811	10	137	107	5100	GRID
100812	10	158	121	5100	GRID
100813	10	104	99	5096	GRID
100814	10	105	95	5098	GRID
100815	10	167	110	4762	GRID
100816	10	147	108	5096	GRID
100817	10	165	115	4760	GRID
100818	10	131	99	5098	GRID
100819	10	168	105	4422	GRID
100820	10	105	96	5098	GRID
100821	10	144	95	4760	GRID
100822	10	40	92	1744	GRID
100823	10	148	95	4760	GRID
100824	10	170	96	4760	GRID
100825	10	115	96	5098	GRID
100826	10	167	107	4760	GRID
100827	10	164	103	4756	GRID
100828	10	104	98	5098	GRID
100829	10	105	98	5100	GRID
100830	10	126	108	5098	GRID
100831	10	107	91	5098	GRID
100832	10	111	103	5100	GRID
100833	10	176	98	4422	GRID
100834	10	108	99	5102	GRID
100835	10	138	93	4758	GRID
100836	10	166	106	4760	GRID
100837	10	141	103	5098	GRID
100838	10	182	106	4758	GRID
100839	10	189	94	4422	GRID
100840	10	179	116	5100	GRID
100841	10	192	106	4760	GRID
100842	10	178	98	4758	GRID
100843	10	199	121	4760	GRID
100844	10	128	101	5098	GRID
100845	10	194	120	4760	GRID
100846	10	195	120	4760	GRID
100847	10	198	94	4086	GRID
100848	10	200	109	4760	GRID
100849	10	159	98	4760	GRID
100850	10	104	94	5098	GRID
100851	10	201	105	4758	GRID
100852	10	194	116	4760	GRID
100853	10	194	97	4084	GRID
100854	10	190	116	4760	GRID
100855	10	198	115	4760	GRID
100856	10	157	122	2748	GRID
100857	10	200	106	4762	GRID
100858	10	190	109	4760	GRID
100859	10	144	93	4760	GRID
100860	10	195	94	4422	GRID
100861	10	190	111	4760	GRID
100862	10	150	120	5098	GRID
100863	10	72	94	752	GRID
100864	10	201	109	4758	GRID
100865	10	191	110	4762	GRID
100866	10	198	117	4760	GRID
100867	10	188	103	4758	GRID
100868	10	195	119	4760	GRID
100869	10	195	95	4424	GRID
100870	10	197	96	4424	GRID
100871	10	200	108	4760	GRID
100872	10	200	95	4422	GRID
100873	10	120	92	5098	GRID
100874	10	200	110	4762	GRID
100875	10	196	116	4760	GRID
100876	10	159	116	5100	GRID
100877	10	47	112	2408	GRID
100878	10	33	101	2080	GRID
100879	10	50	118	3752	GRID
100880	10	57	118	1416	GRID
